,attendance,entry_mode,id,scheduled,status,utc_offset
179,46276,INGEST,49ed1762-afe8-46d1-9a13-d1342ead307f,2006-12-03T21:05:34+00:00,closed,-8
180,78666,INGEST,552400c2-475e-453c-8672-1f4b6e2e75d0,2006-12-03T21:15:32+00:00,closed,-5
181,68241,INGEST,5743eba9-4915-4ab9-9805-255af55e1159,2006-12-03T18:04:52+00:00,closed,-6
182,69098,INGEST,7c094673-f77e-4920-8bd4-2ad48fd02025,2006-12-05T01:41:08+00:00,closed,-5
183,59843,INGEST,7fac4fb9-7c08-43c8-b064-f925d4eb62f1,2006-12-03T21:15:24+00:00,closed,-5
184,76146,INGEST,9982c443-2489-4c52-a4ee-39cad0f6a212,2006-12-04T01:20:57+00:00,closed,-7
185,65612,INGEST,9aa780de-4369-46db-82ba-1ebe6ecd9aab,2006-12-03T18:03:12+00:00,closed,-6
186,86436,INGEST,a74a6c13-df58-42af-96a5-f60e295ea3ee,2006-12-03T18:03:03+00:00,closed,-5
187,65973,INGEST,b0640391-de77-4329-ae3d-bf36cd5815bc,2006-12-01T01:04:32+00:00,closed,-5
188,71927,INGEST,d2fe32ee-cdfb-4cdf-b7f5-df2936e7f833,2006-12-03T18:03:23+00:00,closed,-5
189,68756,INGEST,dac81b8e-1c2d-44c3-9c82-43d73d301fb9,2006-12-03T18:03:12+00:00,closed,-5
190,70527,INGEST,dbaea5eb-2189-483c-8a1b-7d12eda79305,2006-12-03T18:03:00+00:00,closed,-6
191,63361,INGEST,fe14e655-2d36-4742-8767-bafbb3bf9c3d,2006-12-03T18:04:08+00:00,closed,-5
192,77131,INGEST,019c0368-cd5c-4791-8296-54d8c3bcdc2b,2006-12-10T21:15:53+00:00,closed,-5
193,65691,INGEST,070aaad9-60a7-4767-9334-8e5f3c9a6a31,2006-12-10T18:03:29+00:00,closed,-5
194,74033,INGEST,35d4178d-70c0-4cc1-a6e9-a7bb915a8e80,2006-12-10T18:02:48+00:00,closed,-5
195,67164,INGEST,3b89fafa-ce79-4dde-9182-1a3b7e0e2334,2006-12-10T18:02:43+00:00,closed,-5
196,68539,INGEST,41c7afcc-7cd2-480e-8546-174d5070b7ff,2006-12-10T21:05:51+00:00,closed,-8
197,55246,INGEST,636d79d4-32f4-41ba-a8ec-1d394cff69a0,2006-12-08T01:04:49+00:00,closed,-5
198,65882,INGEST,9c68d084-2f95-4707-ad80-78d65b1dbf7e,2006-12-10T18:03:06+00:00,closed,-5
199,63722,INGEST,9d0d6650-f87c-407c-a134-057d7f09698c,2006-12-11T01:21:09+00:00,closed,-6
200,67514,INGEST,a87fe06b-5dda-45f8-9402-1ea8aeddedef,2006-12-10T21:16:06+00:00,closed,-8
201,84164,INGEST,b6746c15-9122-4f8f-9c88-3e8f31b99367,2006-12-10T18:03:00+00:00,closed,-5
202,60861,INGEST,b985f382-743c-40d3-b053-35862b74774a,2006-12-10T18:03:25+00:00,closed,-5
203,73702,INGEST,cc7a8b49-c9f4-4961-9477-75a29181f022,2006-12-10T18:03:43+00:00,closed,-5
204,63603,INGEST,d6da0037-2e39-4855-9143-c5a9de4e936d,2006-12-10T21:06:08+00:00,closed,-7
205,70760,INGEST,db77cf9d-78ad-4808-8f16-7419867e999c,2006-12-10T18:02:47+00:00,closed,-6
206,66234,INGEST,dc953889-be74-497e-bf40-fed1849c3b62,2006-12-12T01:41:10+00:00,closed,-6
207,77232,INGEST,ebae3358-07d1-4be5-a70a-e9cd78422ca8,2006-12-10T18:03:00+00:00,closed,-6
208,78657,INGEST,0cc4d6cf-9ce7-4da8-a8ee-d48b034497ac,2006-12-17T21:15:39+00:00,closed,-5
209,63677,INGEST,26fd87f8-4704-4ece-976d-992c2817d15d,2006-12-17T18:02:36+00:00,closed,-6
210,70472,INGEST,287e4700-9af3-47f6-af11-d7a4cb596809,2006-12-17T18:03:37+00:00,closed,-6
211,57292,INGEST,2d676fc4-a869-4430-bca3-9b5ff6e4e941,2006-12-19T01:40:27+00:00,closed,-5
212,63845,INGEST,2d8169c1-37c4-45f1-bf93-3e70a52d8061,2006-12-17T21:05:57+00:00,closed,-7
