,attendance,entry_mode,id,scheduled,status,utc_offset,weather
139,64781,INGEST,b5b34b92-e160-4312-8d82-68f4e8c24a07,2007-11-11T18:02:58+00:00,closed,-5,
140,69143,INGEST,c2f41e34-1636-4e01-b05d-42ad5756ccf0,2007-11-11T18:03:36+00:00,closed,-6,
141,73340,INGEST,dccb6586-5671-42c4-ac2a-c97602be6dca,2007-11-11T18:04:09+00:00,closed,-5,
142,70945,INGEST,ee68202a-ca6b-47c7-b6f7-db75273be892,2007-11-11T18:02:50+00:00,closed,-6,
143,67726,INGEST,f573708f-59be-4c00-aa73-d9a8bc1be470,2007-11-12T01:23:25+00:00,closed,-8,
144,76590,INGEST,1259051d-0cef-4f87-9ca0-aa236883e0d3,2007-11-20T01:40:29+00:00,closed,-7,
145,71055,INGEST,182254d7-995f-40f1-8a68-a7941528b5db,2007-11-18T18:03:14+00:00,closed,-5,
146,77659,INGEST,2608eabd-614f-43fc-b2a1-3b824916f1c7,2007-11-18T21:05:50+00:00,closed,-5,
147,66732,INGEST,3413aad1-e73a-43fd-9a3e-3c9621911059,2007-11-18T18:03:52+00:00,closed,-5,
148,63706,INGEST,363a0606-fbbb-4faf-b2be-66f183a0f054,2007-11-18T21:15:54+00:00,closed,-6,
149,65403,INGEST,3c3bc952-49c2-4939-b1d5-03b1afd8a1ce,2007-11-18T18:02:44+00:00,closed,-5,
150,60675,INGEST,5b682c66-25bf-4c34-9501-f87d416c1897,2007-11-18T18:03:16+00:00,closed,-5,
151,68249,INGEST,5f137766-9438-4f07-abb1-d0c36ad79129,2007-11-18T21:16:14+00:00,closed,-8,
152,70805,INGEST,73e26916-d9fb-42cd-83f7-4438a50c54d3,2007-11-18T18:03:04+00:00,closed,-6,
153,57294,INGEST,ad5b9bc4-82c2-4629-8080-86bd5aaea2cc,2007-11-18T18:02:45+00:00,closed,-5,
154,71338,INGEST,ae2a7bb3-2a7a-445b-bbb1-0c2b23452240,2007-11-19T01:24:30+00:00,closed,-5,
