,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset
121,71778,INGEST,17392fed-d847-48a7-9e6d-018a6e8fc18b,132,55968,2013-11-04T01:30:49+00:00,closed,-6
122,85360,INGEST,2710e9ce-3455-4987-a24d-9e008884472a,124,55960,2013-11-03T18:02:54+00:00,closed,-6
123,68756,INGEST,30ce85f3-70f0-4d2e-a370-450af8fa130f,131,55967,2013-11-03T21:25:55+00:00,closed,-5
124,54617,INGEST,4c9d915d-5e3a-46db-af33-05cbfaefeab3,126,55962,2013-11-03T18:03:45+00:00,closed,-6
125,68159,INGEST,75d88d7d-40c0-4584-9247-08518fbcd418,122,55958,2013-11-03T18:02:33+00:00,closed,-5
126,73720,INGEST,8aab2375-3792-460e-a3ce-61ece499e63f,123,55959,2013-11-03T18:03:43+00:00,closed,-5
127,76957,INGEST,aad60255-4659-4f43-b5a9-04ca334f1597,125,55961,2013-11-03T18:04:07+00:00,closed,-5
128,52388,INGEST,b660ad53-14e5-4ada-8b0c-f3563de89bd6,121,55957,2013-11-01T00:29:41+00:00,closed,-5
129,67873,INGEST,b88f4133-d7c7-45e0-aabd-ca48131a5b72,129,55965,2013-11-03T21:05:26+00:00,closed,-8
130,80115,INGEST,c27c5257-6165-4a52-b9c0-c60eb475a303,127,55963,2013-11-03T18:02:52+00:00,closed,-5
131,71513,INGEST,dedcadd1-bbb1-4680-9fc1-41185a369f40,130,55966,2013-11-03T21:25:59+00:00,closed,-5
132,51751,INGEST,e77fc30f-d216-4e91-868b-3bf7ed6c35ba,128,55964,2013-11-03T21:05:42+00:00,closed,-8
133,68847,INGEST,166fe22e-bc84-4d01-9924-dfacc2251bae,145,55981,2013-11-10T21:26:35+00:00,closed,-8
134,60406,INGEST,240d588f-e541-4b2f-864b-863632b1460d,141,55977,2013-11-10T18:02:41+00:00,closed,-5
135,78011,INGEST,2c296921-30b0-4b3f-9710-f0db0d56add8,138,55974,2013-11-10T18:03:25+00:00,closed,-6
136,69143,INGEST,5350812f-61b0-4801-945f-0c8865453717,142,55978,2013-11-10T18:02:37+00:00,closed,-6
137,70992,INGEST,5e53b903-b620-4346-86a9-146ce00ea41e,136,55972,2013-11-10T18:03:25+00:00,closed,-5
138,62431,INGEST,703eae22-db9d-4129-9a05-2aa36ac65211,137,55973,2013-11-10T18:03:03+00:00,closed,-6
139,64448,INGEST,7164060c-b880-4a46-b4e3-5fb9fbfe85fa,147,55983,2013-11-12T01:40:59+00:00,closed,-5
140,64011,INGEST,91305a1b-adda-4020-9970-aa935efed693,134,55970,2013-11-08T01:29:59+00:00,closed,-6
141,70309,INGEST,9cb29902-3d97-4d74-b63a-8284de864f26,135,55971,2013-11-10T18:04:06+00:00,closed,-5
142,66004,INGEST,c313230b-0e9f-40b2-a667-ea09bb27d057,139,55975,2013-11-10T18:03:07+00:00,closed,-5
