,attendance,entry_mode,id,scheduled,status,utc_offset,weather
21,78535,INGEST,570dfba2-5c19-482c-a5d9-a8a1aa693542,2010-09-19T20:15:48+00:00,closed,-5,
22,65377,INGEST,6883170d-a517-49bf-a2df-233a5ebb415a,2010-09-19T17:02:43+00:00,closed,-5,
23,67275,INGEST,84f4c4a5-20a3-4f75-b408-f57f8bbdcae7,2010-09-20T00:31:08+00:00,closed,-5,
24,69732,INGEST,9a89c43f-9e5f-4dbb-b423-c50d767fa343,2010-09-21T00:40:57+00:00,closed,-8,
25,66824,INGEST,abc39752-2373-4f49-a52c-f07b36d692e3,2010-09-19T17:04:02+00:00,closed,-5,
26,75130,INGEST,b7e36488-25d8-4f3f-a631-9b15a5c429e7,2010-09-19T20:06:00+00:00,closed,-7,
27,85168,INGEST,be5b8639-c8bb-4d27-8f8a-48d57b9d21f3,2010-09-19T17:03:15+00:00,closed,-6,
28,62691,INGEST,cc279b7c-5613-4991-98fd-fdc47964070c,2010-09-19T20:15:29+00:00,closed,-8,
29,63846,INGEST,d7ba8d82-b0b9-478f-aad3-1cafcbad74d0,2010-09-19T17:02:19+00:00,closed,-6,
30,64071,INGEST,d7fe9fdf-7967-40fd-85dc-7f01ca1ed203,2010-09-19T17:02:53+00:00,closed,-5,
31,70741,INGEST,d9e89646-e303-4c40-b960-d6a8c6a82597,2010-09-19T17:02:47+00:00,closed,-6,
32,68188,INGEST,02c542a0-2253-4262-80bd-4aa57ce77f06,2010-09-26T17:03:54+00:00,closed,-6,
33,61036,INGEST,04352bbe-4e21-43ca-aa09-358cb76aa9d0,2010-09-26T17:03:15+00:00,closed,-5,
34,70051,INGEST,24b0fdef-1d77-4b4b-8e1b-6d940332806a,2010-09-26T17:03:03+00:00,closed,-6,
35,68756,INGEST,25fbcc62-ffec-4d73-9c41-2125571588dd,2010-09-26T17:03:14+00:00,closed,-5,
36,63256,INGEST,2833edb1-ecef-49cc-842c-bfdeefed2c32,2010-09-26T20:05:33+00:00,closed,-5,
37,67106,INGEST,37a54112-3519-411a-a319-789a30532945,2010-09-26T20:15:43+00:00,closed,-8,
38,71119,INGEST,6cc06dcf-5cd1-4dad-a6fd-2fc0f5ce32b2,2010-09-26T17:03:33+00:00,closed,-5,
39,62439,INGEST,6faab056-c0e6-4cdf-b97c-60b42c7e516f,2010-09-26T20:15:49+00:00,closed,-7,
40,78386,INGEST,92d4ec9c-2bbb-4153-a28e-b46dfb15a9a3,2010-09-26T17:02:29+00:00,closed,-5,
41,62179,INGEST,95a8938c-8139-4780-8a0c-4494df34929a,2010-09-28T00:40:48+00:00,closed,-6,
42,52370,INGEST,9b6736c0-550e-419d-9feb-b7a1049df321,2010-09-26T20:06:09+00:00,closed,-6,
43,76401,INGEST,aa8890d2-3eb1-4bd9-a300-c52092a5b327,2010-09-26T20:16:09+00:00,closed,-7,
44,72887,INGEST,c1873131-985a-4558-9f89-db225513340c,2010-09-26T17:03:23+00:00,closed,-5,
45,63377,INGEST,cba9d48e-a0e8-4758-88fb-933ceacdbffc,2010-09-26T17:02:45+00:00,closed,-6,
46,71456,INGEST,db767d4f-36b0-4ef6-836c-5525f558daa8,2010-09-26T17:03:12+00:00,closed,-6,
47,70481,INGEST,e1e80898-02a6-4dfc-bd03-ef87d25f70b5,2010-09-27T00:30:53+00:00,closed,-5,
48,66731,INGEST,14401c79-415e-42f4-b6ad-575ba938b8f1,2010-10-03T17:02:30+00:00,closed,-5,
49,66874,INGEST,1cbdf7d4-6a70-4094-8349-cc09901e8a87,2010-10-03T17:03:00+00:00,closed,-5,
50,69090,INGEST,20f95ee4-13f4-4813-b947-57d8f3fbd013,2010-10-05T00:41:44+00:00,closed,-5,
51,52326,INGEST,46e3d9cc-60f4-40e2-8259-5b712292deea,2010-10-03T17:02:50+00:00,closed,-6,
52,62189,INGEST,4935356c-bec6-48d1-916b-a3c14fed0d04,2010-10-03T20:16:00+00:00,closed,-8,
53,69143,INGEST,773a5a8d-0426-49a7-ab7c-4281fa06cca3,2010-10-03T17:02:29+00:00,closed,-6,
54,69262,INGEST,8296f63d-641e-4c48-a039-88daab323dc4,2010-10-03T17:02:28+00:00,closed,-5,
55,70016,INGEST,a3b2a9d0-18a3-432a-9d65-0bc0ee703329,2010-10-03T17:03:13+00:00,closed,-6,
56,70729,INGEST,bdb9d546-9c6f-4485-a868-df1b081a360d,2010-10-03T17:03:28+00:00,closed,-6,
57,77716,INGEST,bfb137cd-58fb-4be2-9905-23e6e7aee8dc,2010-10-04T00:31:12+00:00,closed,-5,
58,32218,INGEST,e3d1a3bb-d43e-4e9f-b5cf-73f1847b2f57,2010-10-03T20:05:15+00:00,closed,-8,
