,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
114,62810,INGEST,c87dd434-3827-4795-9e5c-738fa16d6b5e,118,55621,2012-10-30T00:41:25+00:00,closed,-8,
115,70464,INGEST,d3735dd5-91e7-40c8-896b-0d13da37f3cb,109,55612,2012-10-28T17:06:27+00:00,closed,-6,
116,62371,INGEST,e8efe3fb-f53a-4d10-90cb-dd1abd76c821,112,55615,2012-10-28T17:02:53+00:00,closed,-5,
117,74730,INGEST,ffad2389-e576-4cbe-931f-fab6c11e7103,115,55618,2012-10-28T20:05:42+00:00,closed,-6,
118,63050,INGEST,1270df07-34fb-4c42-adcf-4bc23d464eaf,125,55628,2012-11-04T18:03:48+00:00,closed,-5,
119,65449,INGEST,14dbd4e6-ff0d-4e52-ba53-f8bb5e1246e7,121,55624,2012-11-04T18:03:14+00:00,closed,-5,
120,69143,INGEST,3ff1c6c6-aee8-4aa7-a5b7-ae1a883eeb93,126,55629,2012-11-04T18:04:11+00:00,closed,-6,
121,66479,INGEST,55d0b262-98ff-49fa-95c8-5ab8ec8cbd34,124,55627,2012-11-04T18:02:34+00:00,closed,-5,
122,71698,INGEST,5ac4bca6-1c9f-4240-a3b7-f1b05e324731,123,55626,2012-11-04T18:02:15+00:00,closed,-6,
123,70840,INGEST,5fd8e2c9-bf0a-4d34-ad7b-1301ddc2acbd,131,55634,2012-11-05T01:31:09+00:00,closed,-5,
124,79767,INGEST,61fc12f3-c65d-4c43-8276-a8cfd1507ce5,127,55630,2012-11-04T18:04:00+00:00,closed,-5,
125,67584,INGEST,7795416d-8aee-48ab-ba48-6bab493c38ea,129,55632,2012-11-04T21:05:36+00:00,closed,-8,
126,55831,INGEST,82748625-c24e-437a-b991-cab7f766c249,119,55622,2012-11-02T00:30:31+00:00,closed,-8,
127,52055,INGEST,b59666fa-cce9-4118-978e-c6ce3aae8295,128,55631,2012-11-04T21:06:11+00:00,closed,-8,
128,70504,INGEST,bbd8d64c-eaee-46ee-959c-af327fe9413f,122,55625,2012-11-04T18:03:46+00:00,closed,-6,
